rank,id,length,path_probability,impact_only,prevapt_score,length_normalized_score,cvss_max
1,L2-P10,2,0.355962,8.16,2.902869,4.865480,5.9
2,L2-P09,2,0.302263,7.81,2.360670,4.293813,5.8
3,L3-P10,3,0.284769,8.16,2.322295,5.365231,6.9
4,L3-P09,3,0.235765,7.81,1.841323,4.824778,6.8
5,L2-P08,2,0.236602,7.46,1.766236,3.631109,5.7
6,L2-P07,2,0.242912,7.12,1.729535,3.509173,5.6
7,L4-P10,4,0.199339,8.16,1.625606,5.449063,7.9
8,L2-P05,2,0.242071,6.43,1.556517,3.163606,5.4
9,L4-P09,4,0.188612,7.81,1.473058,5.146871,7.8
10,L2-P06,2,0.200184,6.77,1.356250,3.031269,5.5
11,L3-P08,3,0.179818,7.46,1.342339,4.213477,6.7
12,L3-P07,3,0.179755,7.12,1.279856,4.018282,6.6
13,L2-P03,2,0.205143,5.74,1.177524,2.599805,5.2
14,L2-P04,2,0.184043,6.09,1.119901,2.610478,5.3
15,L3-P05,3,0.169450,6.43,1.089562,3.558153,6.4
16,L4-P08,4,0.140258,7.46,1.047025,4.568373,7.7
17,L3-P06,3,0.144133,6.77,0.976500,3.552196,6.5
18,L4-P07,4,0.136614,7.12,0.972691,4.328662,7.6
19,L3-P03,3,0.160012,5.74,0.918468,3.116229,6.2
20,L3-P04,3,0.147234,6.09,0.895921,3.213144,6.3
21,L2-P02,2,0.154167,5.40,0.831730,2.118297,5.1
22,L4-P05,4,0.122004,6.43,0.784485,3.800182,7.4
23,L4-P03,4,0.128010,5.74,0.734775,3.433385,7.2
24,L4-P06,4,0.106658,6.77,0.722610,3.871756,7.5
25,L3-P02,3,0.117167,5.40,0.632115,2.639933,6.1
26,L4-P04,4,0.103064,6.09,0.627144,3.447762,7.3
27,L4-P02,4,0.091390,5.40,0.493049,2.966308,7.1
28,L2-P01,2,0.095734,5.05,0.483458,1.562518,5.0
29,L3-P01,3,0.070843,5.05,0.357759,2.089574,6.0
30,L4-P01,4,0.053841,5.05,0.271897,2.432594,7.0
